Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.41931009292603,-1.49336087703705,-1.15226578712463,-1.18368434906006,-1.15493178367615
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,10,9,8,8,8
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,5.7142858505249,4.7619047164917,12.380952835083,12.2641506195068,13.6792449951172
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,1.42857146263123,0,4.7619047164917,4.71698093414307,6.13207530975342
Afghanistan,AFG,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",CC.PER.RNK.UPPER,11.9047622680664,10.4761905670166,20.9523811340332,20.2830181121826,20.7547168731689
Afghanistan,AFG,Control of Corruption: Standard Error,CC.STD.ERR,0.154633209109306,0.157482549548149,0.182797357439995,0.173358500003815,0.173359021544456
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.5191125869751,-1.61153948307037,-1.67058789730072,-1.88003480434418,-1.98701369762421
Afghanistan,AFG,Government Effectiveness: Number of Sources,GE.NO.SRC,8,7,6,6,6
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.66666650772095,5.2380952835083,5.2380952835083,1.88679242134094,1.41509437561035
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.42857146263123,1.42857146263123,0.952380955219269,0,0
Afghanistan,AFG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,12.380952835083,11.4285717010498,11.4285717010498,8.49056625366211,6.60377359390259
Afghanistan,AFG,Government Effectiveness: Standard Error,GE.STD.ERR,0.245669454336166,0.278917849063873,0.299894481897354,0.284960269927979,0.291137188673019
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.65253973007202,-2.702721118927,-2.51867604255676,-2.54495596885681,-2.48408055305481
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,6,5,5,5,5
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,0.943396210670471,0.471698105335236,1.41509437561035,0.943396210670471,1.42180097103119
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,0,0,0,0,0
Afghanistan,AFG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,2.8301887512207,2.35849046707153,4.24528312683105,4.24528312683105,4.7393364906311
